286,주식회사 맛있는이야기 노랑저고리,"서울특별시 서초구 서초대로73길 9, (서초동,타임빌딩 601호)",한식,,
287,황제,"서울특별시 서초구 서래로7길 19, (반포동,(지상2층))",중국식,,
288,주식회사 서석대,"서울특별시 서초구 서초대로 346, 102호 (서초동, 서초동 동아빌라트)",한식,,
289,기와집순두부 서초점,"서울특별시 서초구 서초대로51길 14, 지하1층 (서초동)",한식,,
290,서래본가,"서울특별시 서초구 사평대로 126, (반포동,1층,2층,3층)",한식,,
291,만다린 방배점,"서울특별시 서초구 방배로6길 10-15, 1층 (방배동)",중국식,,
292,신선설농탕,"서울특별시 서초구 효령로 322, (서초동,1층)",한식,,
293,구이마마,"서울특별시 서초구 강남대로25길 59, (양재동,1층)",한식,,
294,정여사 손칼국수,"서울특별시 서초구 바우뫼로 23, 201호 (우면동)",분식,,
295,서초아구찜,"서울특별시 서초구 효령로55길 15, 1층 105호 (서초동)",한식,,
